Date,amount_dispensed,t_minus_1,t_minus_2,t_minus_3,t_minus_7,weekday,month,pm25,pm10
2021-04-10,1260.0,960.0,680.0,780.0,260.0,5,4,17.0,15.0
2021-04-11,380.0,1260.0,960.0,680.0,1320.0,6,4,25.0,7.0
2021-04-12,860.0,380.0,1260.0,960.0,620.0,0,4,20.0,13.0
2021-04-13,980.0,860.0,380.0,1260.0,620.0,1,4,29.0,12.0
2021-04-14,260.0,980.0,860.0,380.0,780.0,2,4,13.0,10.0
2021-04-15,440.0,260.0,980.0,860.0,680.0,3,4,15.0,12.0
2021-04-16,800.0,440.0,260.0,980.0,960.0,4,4,20.0,17.0
2021-04-17,1300.0,800.0,440.0,260.0,1260.0,5,4,,17.0
2021-04-18,820.0,1300.0,800.0,440.0,380.0,6,4,,36.0
2021-04-19,980.0,820.0,1300.0,800.0,860.0,0,4,,7.0
2021-04-20,240.0,980.0,820.0,1300.0,980.0,1,4,,10.0
2021-04-21,160.0,240.0,980.0,820.0,260.0,2,4,19.0,16.0
2021-04-22,200.0,160.0,240.0,980.0,440.0,3,4,25.0,23.0
2021-04-23,320.0,200.0,160.0,240.0,800.0,4,4,18.0,15.0
2021-04-24,800.0,320.0,200.0,160.0,1300.0,5,4,16.0,11.0
2021-04-25,120.0,800.0,320.0,200.0,820.0,6,4,22.0,4.0
2021-04-26,320.0,120.0,800.0,320.0,980.0,0,4,9.0,6.0
2021-04-27,320.0,320.0,120.0,800.0,240.0,1,4,12.0,10.0
2021-04-28,300.0,320.0,320.0,120.0,160.0,2,4,15.0,12.0
2021-04-29,140.0,300.0,320.0,320.0,200.0,3,4,12.0,16.0
2021-04-30,720.0,140.0,300.0,320.0,320.0,4,4,20.0,17.0
2021-05-01,480.0,720.0,140.0,300.0,800.0,5,5,19.0,10.0
2021-05-02,160.0,480.0,720.0,140.0,120.0,6,5,11.0,7.0
2021-05-03,1100.0,160.0,480.0,720.0,320.0,0,5,14.0,12.0
2021-05-04,1240.0,1100.0,160.0,480.0,320.0,1,5,15.0,17.0
2021-05-05,160.0,1240.0,1100.0,160.0,300.0,2,5,28.0,20.0
2021-05-06,560.0,160.0,1240.0,1100.0,140.0,3,5,34.0,33.0
2021-05-07,0.0,560.0,160.0,1240.0,720.0,4,5,30.0,22.0
2021-05-08,340.0,0.0,560.0,160.0,480.0,5,5,12.0,9.0
2021-05-09,1360.0,340.0,0.0,560.0,160.0,6,5,9.0,8.0
2021-05-10,500.0,1360.0,340.0,0.0,1100.0,0,5,11.0,
2021-05-11,120.0,500.0,1360.0,340.0,1240.0,1,5,,
2021-05-12,220.0,120.0,500.0,1360.0,160.0,2,5,,
2021-05-13,1460.0,220.0,120.0,500.0,560.0,3,5,,
2021-05-14,580.0,1460.0,220.0,120.0,0.0,4,5,,
2021-05-15,0.0,580.0,1460.0,220.0,340.0,5,5,,
2021-05-16,380.0,0.0,580.0,1460.0,1360.0,6,5,,19.0
2021-05-17,400.0,380.0,0.0,580.0,500.0,0,5,21.0,30.0
2021-05-18,720.0,400.0,380.0,0.0,120.0,1,5,22.0,41.0
2021-05-19,220.0,720.0,400.0,380.0,220.0,2,5,16.0,
2021-05-20,680.0,220.0,720.0,400.0,1460.0,3,5,,5.0
2021-05-21,540.0,680.0,220.0,720.0,580.0,4,5,13.0,5.0
2021-05-22,500.0,540.0,680.0,220.0,0.0,5,5,19.0,6.0
2021-05-23,560.0,500.0,540.0,680.0,380.0,6,5,10.0,13.0
2021-05-24,0.0,560.0,500.0,540.0,400.0,0,5,16.0,
2021-05-25,0.0,0.0,560.0,500.0,720.0,1,5,,
2021-05-26,100.0,0.0,0.0,560.0,220.0,2,5,,
2021-05-27,500.0,100.0,0.0,0.0,680.0,3,5,,
2021-05-28,820.0,500.0,100.0,0.0,540.0,4,5,,
2021-05-29,540.0,820.0,500.0,100.0,500.0,5,5,,
2021-05-30,1080.0,540.0,820.0,500.0,560.0,6,5,,
2021-05-31,1540.0,1080.0,540.0,820.0,0.0,0,5,,
2021-06-01,1700.0,1540.0,1080.0,540.0,0.0,1,6,,
2021-06-02,560.0,1700.0,1540.0,1080.0,100.0,2,6,,
